country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,,,YEAR,LE
Afghanistan,28.2,28.2,28.2,28.2,28.2,28.2,28.1,28.1,28.1,28.1,28.1,,,1800,27.57727273
Angola,27,27,27,27,27,27,27,27,27,27,27,,,1801,31.2
Albania,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,,,1802,34.41818182
Andorra,30.6,45,32.8,30.7,34.8,30.6,36.8,30.5,35,27,34,,,1803,32.06818182
UAE,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,,,1804,31.95
Argentina,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,,,1805,33.6
Armenia,34,34,34,34,34,34,34,34,34,34,34,,,1806,33.75
Antigua and Barbuda,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,,,1807,33.75
Australia,34,34,34,34,34,34,34,34,34,34,34,,,1809,34.2
Austria,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,,,1810,31.8
Azerbaijan,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,,,,
Burundi,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,,,,
Belgium,40,40,40,40,40,40,40,40.1,40.1,40.1,40.1,,,,
Benin,31,31,31,31,31,31,31,31,31,31,31,,,,
Burkina Faso,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,,,,
Bangladesh,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,,,,
Bulgaria,35.8,35.8,35.9,35.9,36,36,36.1,36.1,36.1,36.2,36.2,,,,
Bahrain,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,,,,
Bahamas,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,,,,
Bosnia and Herzegovina,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,,,,
Belarus,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,,,,
Belize,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,,,,
Bolivia,33,33,33,33,33,33,33,33,33,33,33,,,,
Brazil,32,32,32,32,32,32,32,32,32,32,32,,,,
